REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATOI00I00,CO2,1,2023,70.0778
REGION1,ATOI00I00,CO2,1,2024,70.0778
REGION1,ATOI00I00,CO2,1,2025,70.0778
REGION1,ATOI00I00,CO2,1,2026,70.0778
REGION1,ATOI00I00,CO2,1,2027,70.0778
REGION1,ATOI00I00,CO2,1,2028,70.0778
REGION1,ATOI00I00,CO2,1,2029,70.0778
REGION1,ATOI00I00,CO2,1,2030,70.0778
REGION1,ATOI00I00,CO2,1,2031,70.0778
REGION1,ATOI00I00,CO2,1,2032,70.0778
REGION1,ATOI00I00,CO2,1,2033,70.0778
REGION1,ATOI00I00,CO2,1,2034,70.0778
REGION1,ATOI00I00,CO2,1,2035,70.0778
REGION1,ATOI00I00,CO2,1,2036,70.0778
REGION1,ATOI00I00,CO2,1,2037,70.0778
REGION1,ATOI00I00,CO2,1,2038,70.0778
REGION1,ATOI00I00,CO2,1,2039,70.0778
REGION1,ATOI00I00,CO2,1,2040,70.0778
REGION1,ATOI00I00,CO2,1,2041,70.0778
REGION1,ATOI00I00,CO2,1,2042,70.0778
REGION1,ATOI00I00,CO2,1,2043,70.0778
REGION1,ATOI00I00,CO2,1,2044,70.0778
REGION1,ATOI00I00,CO2,1,2045,70.0778
