REGION,TECHNOLOGY,VALUE
REGION1,DEBF00X00,1
REGION1,DEBFHPFH1,31.536
REGION1,DEBM00I00,1
REGION1,DEBM00X00,1
REGION1,DEBMCCPH1,31.536
REGION1,DEBMCHPH3,31.536
REGION1,DEBMCSPN2,31.536
REGION1,DEBMSTPH3,31.536
REGION1,DECO00I00,1
REGION1,DECO00X00,1
REGION1,DECOCHPH3,31.536
REGION1,DECOCSPN2,31.536
REGION1,DECOSTPH1,31.536
REGION1,DECOSTPH3,31.536
REGION1,DEEL00TD0,1
REGION1,DEELDKPH1,31.536
REGION1,DEELFRPH1,31.536
REGION1,DEELLUPH1,31.536
REGION1,DEELNLPH1,31.536
REGION1,DEELNOPH1,31.536
REGION1,DEELPLPH1,31.536
REGION1,DEELSEPH1,31.536
REGION1,DEELUKPH1,1
REGION1,DEGO00X00,1
REGION1,DEGOCVPH2,31.536
REGION1,DEHF00I00,1
REGION1,DEHFCCPH2,31.536
REGION1,DEHFCHPH3,31.536
REGION1,DEHFGCPH3,31.536
REGION1,DEHFGCPN3,31.536
REGION1,DEHFHPFH1,31.536
REGION1,DEHFHPPH2,31.536
REGION1,DEHFSTPH2,31.536
REGION1,DEHFSTPH3,31.536
REGION1,DEHYDMPH0,31.536
REGION1,DEHYDMPH1,31.536
REGION1,DEHYDMPH2,31.536
REGION1,DEHYDMPH3,31.536
REGION1,DEHYDSPH2,31.536
REGION1,DEHYDSPH3,31.536
REGION1,DENG00I00,1
REGION1,DENG00X00,1
REGION1,DENGCCPH2,31.536
REGION1,DENGCHPH3,31.536
REGION1,DENGCHPN3,31.536
REGION1,DENGCSPN2,31.536
REGION1,DENGFCFH1,31.536
REGION1,DENGGCPH2,31.536
REGION1,DENGGCPN2,31.536
REGION1,DENGHPFH1,31.536
REGION1,DENGHPPH2,31.536
REGION1,DENGSTPH2,31.536
REGION1,DENUG2PH3,31.536
REGION1,DEOCWVPH1,31.536
REGION1,DEOI00I00,1
REGION1,DEOI00X00,1
REGION1,DEOIRFPH0,1
REGION1,DESODIFH1,31.536
REGION1,DESOUTPH2,31.536
REGION1,DEUR00I00,1
REGION1,DEWIOFPH3,31.536
REGION1,DEWIOFPN2,31.536
REGION1,DEWIOFPN3,31.536
REGION1,DEWIONPH3,31.536
REGION1,DEWIONPN3,31.536
REGION1,DEWS00X00,1
REGION1,DEWSCHPH2,31.536
REGION1,DEWSSTPH1,31.536
REGION1,DKBF00I00,1
REGION1,DKBF00X00,1
REGION1,DKBFHPFH1,31.536
REGION1,DKBM00I00,1
REGION1,DKBM00X00,1
REGION1,DKBMCCPH1,31.536
REGION1,DKBMCHPH3,31.536
REGION1,DKBMCSPN2,31.536
REGION1,DKBMSTPH3,31.536
REGION1,DKCO00I00,1
REGION1,DKCOCHPH3,31.536
REGION1,DKCOCSPN2,31.536
REGION1,DKCOSTPH1,31.536
REGION1,DKCOSTPH3,31.536
REGION1,DKEL00TD0,1
REGION1,DKELNLPH1,31.536
REGION1,DKELNOPH1,31.536
REGION1,DKELPLPH1,1
REGION1,DKELSEPH1,31.536
REGION1,DKELUKPH1,1
REGION1,DKGO00X00,1
REGION1,DKGOCVPH2,31.536
REGION1,DKHF00I00,1
REGION1,DKHFCCPH2,31.536
REGION1,DKHFCHPH3,31.536
REGION1,DKHFGCPH3,31.536
REGION1,DKHFGCPN3,31.536
REGION1,DKHFHPFH1,31.536
REGION1,DKHFHPPH2,31.536
REGION1,DKHFSTPH2,31.536
REGION1,DKHFSTPH3,31.536
REGION1,DKHYDMPH0,31.536
REGION1,DKHYDMPH1,31.536
REGION1,DKHYDMPH2,31.536
REGION1,DKHYDMPH3,31.536
REGION1,DKNG00I00,1
REGION1,DKNG00X00,1
REGION1,DKNGCCPH2,31.536
REGION1,DKNGCHPH3,31.536
REGION1,DKNGCHPN3,31.536
REGION1,DKNGCSPN2,31.536
REGION1,DKNGFCFH1,31.536
REGION1,DKNGGCPH2,31.536
REGION1,DKNGGCPN2,31.536
REGION1,DKNGHPFH1,31.536
REGION1,DKNGHPPH2,31.536
REGION1,DKNGSTPH2,31.536
REGION1,DKOCWVPH1,31.536
REGION1,DKOI00I00,1
REGION1,DKOI00X00,1
REGION1,DKOIRFPH0,1
REGION1,DKSODIFH1,31.536
REGION1,DKSOUTPH2,31.536
REGION1,DKWIOFPH3,31.536
REGION1,DKWIOFPN2,31.536
REGION1,DKWIOFPN3,31.536
REGION1,DKWIONPH3,31.536
REGION1,DKWS00X00,1
REGION1,DKWSCHPH2,31.536
REGION1,DKWSSTPH1,31.536
REGION1,EEBF00I00,1
REGION1,EEBF00X00,1
REGION1,EEBFHPFH1,31.536
REGION1,EEBM00I00,1
REGION1,EEBM00X00,1
REGION1,EEBMCCPH1,31.536
REGION1,EEBMCHPH3,31.536
REGION1,EEBMCSPN2,31.536
REGION1,EEBMSTPH3,31.536
REGION1,EECO00I00,1
REGION1,EECO00X00,1
REGION1,EECOCHPH3,31.536
REGION1,EECOCSPN2,31.536
REGION1,EECOSTPH1,31.536
REGION1,EECOSTPH3,31.536
REGION1,EEEL00TD0,1
REGION1,EEELFIPH1,31.536
REGION1,EEELLVPH1,31.536
REGION1,EEGO00X00,1
REGION1,EEGOCVPH2,31.536
REGION1,EEHF00I00,1
REGION1,EEHFCCPH2,31.536
REGION1,EEHFCHPH3,31.536
REGION1,EEHFGCPH3,31.536
REGION1,EEHFGCPN3,31.536
REGION1,EEHFHPFH1,31.536
REGION1,EEHFHPPH2,31.536
REGION1,EEHFSTPH2,31.536
REGION1,EEHFSTPH3,31.536
